File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character_r11.cc,Character::recognize112( const Rectangle & charbox ),136,122,67,39,13,3,1,16,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character_r12.cc,"Character::recognize12( const Charset & charset, const Rectangle & charbox )",217,209,97,59,7,5,1,20,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character_r13.cc,"Character::recognize13( const Charset & charset, const Rectangle & charbox )",35,34,18,7,1,1,0,2,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\common.cc,Ocrad::internal_error( const char * const msg ),3,3,3,0,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\common.cc,"Ocrad::similar( const int a, const int b, const int percent_dif, const int abs_dif )",5,5,5,2,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\common.cc,Charset::enable( const char * const name ),5,5,3,3,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\common.cc,Charset::enabled( const Value cset ) const,3,3,3,2,0,1,0,2,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\common.cc,Charset::only( const Value cset ) const,3,3,3,2,0,1,0,2,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\common.cc,"Charset::show_error( const char * const program_name, const char * const arg ) const",10,10,6,3,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\common.cc,Filter::set( const char * const name ),5,5,3,3,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\common.cc,"Filter::show_error( const char * const program_name, const char * const arg ) const",10,10,6,3,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\common.cc,Transformation::set( const char * const name ),5,5,3,3,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\common.cc,"Transformation::show_error( const char * const program_name, const char * const arg ) const",10,10,6,3,0,0,0,0,
