File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\rational.h,142,98,68,1,22,14,22,210,22,168
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\rectangle.h,83,57,52,0,9,0,17,123,17,123
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\segment.h,40,16,12,0,6,2,18,138,17,126
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\textblock.h,42,19,16,0,6,2,17,129,17,123
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\textline.h,67,40,36,0,10,0,17,123,17,123
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\textpage.h,42,18,15,0,7,2,17,129,17,123
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\track.h,75,44,40,0,14,2,17,134,17,128
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\ucs.h,126,104,21,0,5,85,17,564,17,123
C:\Users\Vivek\Documents\erp_ionic\node_modules\nan\nan.h,2893,2372,1014,214,432,50,89,551,19,88
C:\Users\Vivek\Documents\erp_ionic\node_modules\nan\nan_callbacks.h,89,69,36,0,13,4,7,28,7,21
C:\Users\Vivek\Documents\erp_ionic\node_modules\nan\nan_callbacks_12_inl.h,515,437,200,3,66,2,12,46,7,21
C:\Users\Vivek\Documents\erp_ionic\node_modules\nan\nan_callbacks_pre_12_inl.h,521,429,236,18,80,3,12,50,7,21
C:\Users\Vivek\Documents\erp_ionic\node_modules\nan\nan_converters.h,73,52,18,3,14,2,7,26,7,21
